gene_name	refseq_id	enst_id	note
AXIN1	NM_003502.3	ENST00000262320.8	oncokb transcript, MANE select
AXIN2	NM_004655.3	ENST00000307078.10	oncokb transcript, MANE select
AXL	NM_021913.4	ENST00000301178.9	oncokb transcript, MANE select
B2M	NM_004048.2	ENST00000559916.1	oncokb transcript
BABAM1	NM_001033549.1	ENST00000359435.8	oncokb transcript
BAP1	NM_004656.3	ENST00000460680.6	oncokb transcript, MANE select
BARD1	NM_000465.2	ENST00000260947.9	oncokb transcript, MANE select
BBC3	NM_001127240.2	ENST00000449228.5	oncokb transcript
BCL10	NM_003921.4	ENST00000648566.1	oncokb transcript, MANE select
BCL2	NM_000633.2	ENST00000333681.5	oncokb transcript, MANE select
BCL2L1	NM_138578.1	ENST00000307677.5	oncokb transcript, MANE select
BCL2L11	NM_138621.4	ENST00000393256.8	oncokb transcript, MANE select
BCL6	NM_001706.4	ENST00000232014.8	oncokb transcript
BCOR	NM_001123385.1	ENST00000378444.9	oncokb transcript, MANE select
BIRC3	NM_182962.2	ENST00000263464.9	oncokb transcript, MANE select
BIVM-ERCC5	NM_001204425.2	ENST00000639435.1	
BLM	NM_000057.2	ENST00000355112.8	oncokb transcript, MANE select
BMPR1A	NM_004329.2	ENST00000372037.8	oncokb transcript, MANE select
BRAF	NM_004333.4	ENST00000646891.2	oncokb transcript, MANE select
BRCA1	NM_007294.3	ENST00000357654.9	oncokb transcript, MANE select
BRCA2	NM_000059.3	ENST00000380152.8	oncokb transcript, MANE select
BRD4	NM_058243.2	ENST00000263377.6	oncokb transcript
BRIP1	NM_032043.2	ENST00000259008.7	oncokb transcript, MANE select
BTK	NM_000061.2	ENST00000308731.8	oncokb transcript, MANE select
CALR	NM_004343.3	ENST00000316448.10	oncokb transcript, MANE select
CARD11	NM_032415.4	ENST00000396946.9	oncokb transcript, MANE select
CARM1	NM_199141.1	ENST00000327064.9	oncokb transcript, MANE select
CASP8	NM_001080125.1	ENST00000358485.8	oncokb transcript
CBFB	NM_022845.2	ENST00000412916.7	oncokb transcript, MANE select
CBL	NM_005188.3	ENST00000264033.6	oncokb transcript, MANE select
CCND1	NM_053056.2	ENST00000227507.3	oncokb transcript, MANE select
CCND2	NM_001759.3	ENST00000261254.8	oncokb transcript, MANE select
CCND3	NM_001760.3	ENST00000372991.9	oncokb transcript, MANE select
CCNE1	NM_001238.2	ENST00000262643.8	oncokb transcript, MANE select
CCNQ	NP_689487.2	ENST00000576892.8	MANE transcript, MANE select
CD274	NM_014143.3	ENST00000381577.4	oncokb transcript, MANE select
CD276	NM_001024736.1	ENST00000318443.10	oncokb transcript, MANE select
CD79A	NM_001783.3	ENST00000221972.8	oncokb transcript, MANE select
CD79B	NM_001039933.1	ENST00000392795.7	oncokb transcript
CDC42	NM_001791.3	ENST00000344548.8	oncokb transcript
CDC73	NM_024529.4	ENST00000367435.5	oncokb transcript, MANE select
CDH1	NM_004360.3	ENST00000261769.10	oncokb transcript, MANE select
CDK12	NM_016507.2	ENST00000447079.6	oncokb transcript, MANE select
CDK4	NM_000075.3	ENST00000257904.11	oncokb transcript, MANE select
CDK6	NM_001145306.1	ENST00000265734.8	oncokb transcript
CDK8	NM_001260.1	ENST00000381527.8	oncokb transcript, MANE select
CDKN1A	NM_078467.2	ENST00000244741.10	oncokb transcript, MANE select
CDKN1B	NM_004064.3	ENST00000228872.9	oncokb transcript, MANE select
CDKN2A	NM_000077.4	ENST00000304494.10	oncokb transcript, MANE select
CDKN2B	NM_004936.3	ENST00000276925.7	oncokb transcript, MANE select
CDKN2C	NM_078626.2	ENST00000262662.5	oncokb transcript
CEBPA	NM_004364.3	ENST00000498907.3	oncokb transcript, MANE select
CENPA	NM_001809.3	ENST00000335756.9	oncokb transcript, MANE select
CHEK1	NM_001274.5	ENST00000428830.6	oncokb transcript
CHEK2	NM_007194.3	ENST00000404276.6	oncokb transcript, MANE select
CIC	NM_015125.3	ENST00000575354.6	oncokb transcript
CMTR2	NM_001099642.1	ENST00000338099.9	oncokb transcript
COP1	NM_022457.5	ENST00000367669.8	oncokb transcript, MANE select
CREBBP	NM_004380.2	ENST00000262367.10	oncokb transcript, MANE select
CRKL	NM_005207.3	ENST00000354336.8	oncokb transcript, MANE select
CRLF2	NP_071431.2	ENST00000400841.8	oncokb transcript, MANE select
CSDE1	NM_001242891.1	ENST00000438362.7	oncokb transcript
CSF1R	NM_005211.3	ENST00000286301.7	oncokb transcript
CSF3R	NP_000751.1	ENST00000373106.6	oncokb transcript, MANE select
CTCF	NM_006565.3	ENST00000264010.10	oncokb transcript, MANE select
CTLA4	NM_005214.4	ENST00000648405.2	oncokb transcript, MANE select
CTNNB1	NM_001904.3	ENST00000349496.11	oncokb transcript, MANE select
CTR9	NM_014633.4	ENST00000361367.7	oncokb transcript, MANE select
CUL3	NM_003590.4	ENST00000264414.9	oncokb transcript, MANE select
CXCR4	NM_003467.2	ENST00000241393.4	oncokb transcript, MANE select
CYLD	NM_001042355.1	ENST00000398568.6	oncokb transcript
CYP19A1	NM_000103.4	ENST00000396402.6	oncokb transcript, MANE select
CYSLTR2	NM_020377.2	ENST00000282018.4	oncokb transcript
DAXX	NM_001141970.1	ENST00000266000.10	oncokb transcript
DCUN1D1	NM_020640.2	ENST00000292782.9	oncokb transcript, MANE select
DDR2	NM_006182.2	ENST00000367921.8	oncokb transcript, MANE select
DICER1	NM_177438.2	ENST00000393063.6	oncokb transcript
DIS3	NM_014953.3	ENST00000377767.9	oncokb transcript, MANE select
DNAJB1	NM_006145.1	ENST00000254322.3	oncokb transcript, MANE select
DNMT1	NM_001379.2	ENST00000340748.8	oncokb transcript
DNMT3A	NM_022552.4	ENST00000264709.7	oncokb transcript
DNMT3B	NM_006892.3	ENST00000328111.6	oncokb transcript, MANE select
DOT1L	NM_032482.2	ENST00000398665.8	oncokb transcript, MANE select
DROSHA	NM_013235.4	ENST00000344624.8	oncokb transcript, MANE select
DUSP4	NM_001394.6	ENST00000240100.7	oncokb transcript, MANE select
E2F3	NM_001949.4	ENST00000346618.8	oncokb transcript, MANE select
EED	NM_003797.3	ENST00000263360.11	oncokb transcript, MANE select
EGFL7	NM_201446.2	ENST00000308874.12	oncokb transcript, MANE select
EGFR	NM_005228.3	ENST00000275493.7	oncokb transcript, MANE select
EIF1AX	NM_001412.3	ENST00000379607.10	oncokb transcript, MANE select
EIF4A2	NM_001967.3	ENST00000323963.10	oncokb transcript, MANE select
EIF4E	NM_001130678.1	ENST00000280892.10	oncokb transcript
ELF3	NM_004433.4	ENST00000359651.7	oncokb transcript
ELOC	NM_005648.3	ENST00000284811.12	oncokb transcript
EP300	NM_001429.3	ENST00000263253.9	oncokb transcript, MANE select
EPAS1	NM_001430.4	ENST00000263734.5	oncokb transcript, MANE select
EPCAM	NM_002354.2	ENST00000263735.9	oncokb transcript, MANE select
EPHA3	NM_005233.5	ENST00000336596.7	oncokb transcript, MANE select
EPHA5	NM_004439.5	ENST00000273854.7	oncokb transcript
EPHA7	NM_004440.3	ENST00000369303.9	oncokb transcript, MANE select
EPHB1	NM_004441.4	ENST00000398015.8	oncokb transcript, MANE select
ERBB2	NM_004448.2	ENST00000269571.10	oncokb transcript, MANE select
ERBB3	NM_001982.3	ENST00000267101.8	oncokb transcript, MANE select
ERBB4	NM_005235.2	ENST00000342788.9	oncokb transcript, MANE select
ERCC2	NM_000400.3	ENST00000391945.10	oncokb transcript, MANE select
ERCC3	NM_000122.1	ENST00000285398.7	oncokb transcript, MANE select
ERCC4	NM_005236.2	ENST00000311895.8	oncokb transcript, MANE select
ERCC5	NM_000123.4	ENST00000652225.2	oncokb transcript, MANE select
ERF	NM_006494.2	ENST00000222329.9	oncokb transcript, MANE select
ERG	NM_182918.3	ENST00000288319.12	oncokb transcript, MANE select
ERRFI1	NM_018948.3	ENST00000377482.10	oncokb transcript, MANE select
ESR1	NM_001122740.1	ENST00000206249.8	oncokb transcript, MANE select
ETAA1	NM_019002.3	ENST00000272342.6	oncokb transcript, MANE select
ETV1	NM_001163147.1	ENST00000405192.6	oncokb transcript
ETV6	NM_001987.4	ENST00000396373.9	oncokb transcript, MANE select
EZH1	NM_001991.3	ENST00000428826.7	oncokb transcript, MANE select
EZH2	NM_004456.4	ENST00000320356.7	oncokb transcript, MANE select
FANCA	NM_000135.2	ENST00000389301.8	oncokb transcript, MANE select
FANCC	NM_000136.2	ENST00000289081.8	oncokb transcript, MANE select
FAT1	NM_005245.3	ENST00000441802.7	oncokb transcript, MANE select
FBXW7	NM_033632.3	ENST00000281708.10	oncokb transcript, MANE select
FGF19	NM_005117.2	ENST00000294312.4	oncokb transcript, MANE select
FGF3	NM_005247.2	ENST00000334134.4	oncokb transcript, MANE select
FGF4	NM_002007.2	ENST00000168712.3	oncokb transcript, MANE select
FGFR1	NM_001174067.1	ENST00000425967.8	oncokb transcript
FGFR2	NM_000141.4	ENST00000358487.10	oncokb transcript, MANE select
FGFR3	NM_000142.5	ENST00000440486.8	oncokb transcript, MANE select
FGFR4	NM_213647.1	ENST00000292408.9	oncokb transcript, MANE select
FH	NM_000143.3	ENST00000366560.4	oncokb transcript, MANE select
FIP1L1	NM_001134937.2	ENST00000358575.9	in original mskcc_isoform_overrides_grch38, matching for new mskcc_isoform_overrides_grch37
FLCN	NM_144997.5	ENST00000285071.9	oncokb transcript, MANE select
FLT1	NM_002019.4	ENST00000282397.9	oncokb transcript, MANE select
FLT3	NM_004119.2	ENST00000241453.12	oncokb transcript, MANE select
FLT4	NM_182925.4	ENST00000261937.11	oncokb transcript, MANE select
FOXA1	NM_004496.3	ENST00000250448.5	oncokb transcript, MANE select
FOXF1	NM_001451.2	ENST00000262426.6	oncokb transcript, MANE select
FOXL2	NM_023067.3	ENST00000648323.1	oncokb transcript, MANE select
FOXO1	NM_002015.3	ENST00000379561.6	oncokb transcript, MANE select
FOXP1	NM_001244814.1	ENST00000318789.11	oncokb transcript
FUBP1	NM_003902.3	ENST00000370768.7	oncokb transcript, MANE select
FYN	NM_153047.3	ENST00000368678.8	oncokb transcript
GAB1	NM_207123.3	ENST00000262995.9	oncokb transcript, matching with GRCh37 mskcc isoform
GAB2	NM_080491.2	ENST00000361507.5	oncokb transcript, MANE select
GATA1	NM_002049.3	ENST00000376670.9	oncokb transcript, MANE select
GATA2	NM_032638.4	ENST00000341105.7	oncokb transcript, MANE select
GATA3	NM_002051.2	ENST00000346208.4	oncokb transcript
GLI1	NM_005269.2	ENST00000228682.7	oncokb transcript, MANE select
GNA11	NM_002067.2	ENST00000078429.9	oncokb transcript, MANE select
GNAQ	NM_002072.3	ENST00000286548.9	oncokb transcript, MANE select
GNAS	NM_000516.4	ENST00000371085.8	oncokb transcript, MANE select
GNB1	NM_001282539.1	ENST00000378609.9	oncokb transcript, MANE select
GPS2	NM_004489.4	ENST00000380728.7	oncokb transcript, MANE select
GREM1	NM_013372.6	ENST00000651154.1	oncokb transcript, MANE select
GRIN2A	NM_001134407.1	ENST00000330684.4	oncokb transcript, MANE select
GSK3B	NM_002093.3	ENST00000316626.6	oncokb transcript
H1-2	NM_005319.3	ENST00000343677.4	oncokb transcript, MANE select
H2BC5	NM_021063.3	ENST00000289316.2	oncokb transcript
H3-3A	NM_002107.4	ENST00000366815.10	oncokb transcript, MANE select
H3-3B	NM_005324.3	ENST00000254810.8	oncokb transcript, MANE select
H3-4	NM_003493.2	ENST00000366696.2	oncokb transcript, MANE select
H3-5	NM_001013699.2	ENST00000340398.5	oncokb transcript, MANE select
H3C1	NM_003529.2	ENST00000613854.2	oncokb transcript, MANE select
H3C10	NM_003536.2	ENST00000369163.4	oncokb transcript
H3C11	NM_003533.2	ENST00000616365.2	oncokb transcript, MANE select
H3C12	NM_003535.2	ENST00000359303.4	oncokb transcript, MANE select
H3C13	NM_001123375.2	ENST00000331491.2	oncokb transcript, MANE select
H3C14	NM_021059.2	ENST00000369158.2	oncokb transcript, MANE select
H3C2	NM_003537.3	ENST00000621411.3	oncokb transcript, MANE select
H3C3	NM_003531.2	ENST00000612966.3	oncokb transcript, MANE select
H3C4	NM_003530.4	ENST00000356476.3	oncokb transcript, MANE select
H3C6	NM_003532.2	ENST00000634733.1	oncokb transcript
H3C7	NM_021018.2	ENST00000618052.2	oncokb transcript, MANE select
H3C8	NM_003534.2	ENST00000614378.2	oncokb transcript, MANE select
HGF	NM_000601.4	ENST00000222390.11	oncokb transcript, MANE select
HLA-A	NM_001242758.1	ENST00000376809.10	oncokb transcript, MANE select
HLA-B	NM_005514.6	ENST00000412585.7	oncokb transcript, MANE select
HLA-C	NM_002117.5	ENST00000376228.10	oncokb transcript, MANE select
HNF1A	NM_000545.5	ENST00000257555.11	oncokb transcript, MANE select
HOXB13	NM_006361.5	ENST00000290295.8	oncokb transcript, MANE select
HRAS	NM_005343.2	ENST00000451590.5	oncokb transcript
ICOSLG	NM_015259.4	ENST00000407780.8	oncokb transcript, MANE select
ID3	NM_002167.4	ENST00000374561.6	oncokb transcript, MANE select
IDH1	NM_005896.2	ENST00000345146.7	oncokb transcript, MANE select
IDH2	NM_002168.2	ENST00000330062.8	oncokb transcript, MANE select
IFNGR1	NM_000416.2	ENST00000367739.9	oncokb transcript, MANE select
IGF1	NM_001111285.1	ENST00000307046.8	oncokb transcript
IGF1R	NM_000875.3	ENST00000650285.1	oncokb transcript, MANE select
IGF2	NM_001127598.1	ENST00000434045.6	oncokb transcript
IKBKE	NM_014002.3	ENST00000581977.7	oncokb transcript, MANE select
IKZF1	NM_006060.6	ENST00000331340.8	oncokb transcript, MANE select
IL10	NM_000572.2	ENST00000423557.1	oncokb transcript, MANE select
IL7R	NM_002185.3	ENST00000303115.8	oncokb transcript, MANE select
INHA	NM_002191.3	ENST00000243786.3	oncokb transcript, MANE select
INHBA	NM_002192.2	ENST00000242208.5	oncokb transcript, MANE select
INPP4A	NP_001127697.1	ENST00000409851.8	oncokb transcript, MANE select
INPP4B	NM_001101669.1	ENST00000262992.9	oncokb transcript, MANE select
INPPL1	NM_001567.3	ENST00000298229.7	oncokb transcript, MANE select
INSR	NM_000208.2	ENST00000302850.10	oncokb transcript, MANE select
INSRR	NP_055030.1	ENST00000368195.4	MANE transcript, MANE select
IRF4	NM_002460.3	ENST00000380956.9	oncokb transcript, MANE select
IRS1	NM_005544.2	ENST00000305123.6	oncokb transcript, MANE select
IRS2	NM_003749.2	ENST00000375856.5	oncokb transcript, MANE select
JAK1	NM_002227.2	ENST00000342505.5	oncokb transcript, MANE select
JAK2	NM_004972.3	ENST00000381652.4	oncokb transcript, MANE select
JAK3	NM_000215.3	ENST00000458235.7	oncokb transcript, MANE select
JUN	NM_002228.3	ENST00000371222.4	oncokb transcript, MANE select
KBTBD4	NP_060565.4	ENST00000430070.7	oncokb transcript, MANE select
KDM5A	NM_001042603.1	ENST00000399788.7	oncokb transcript, MANE select
KDM5C	NM_004187.3	ENST00000375401.8	oncokb transcript, MANE select
KDM6A	NM_021140.2	ENST00000377967.9	oncokb transcript
KDR	NM_002253.2	ENST00000263923.5	oncokb transcript, MANE select
KEAP1	NM_203500.1	ENST00000171111.10	oncokb transcript, MANE select
KIT	NM_000222.2	ENST00000288135.6	oncokb transcript, MANE select
KLF4	NM_004235.4	ENST00000374672.5	oncokb transcript, MANE select
KLF5	NM_001730.4	ENST00000377687.6	oncokb transcript, MANE select
KMT2A	NM_001197104.1	ENST00000534358.8	oncokb transcript, MANE select
KMT2B	NM_014727.3	ENST00000420124.4	oncokb transcript, MANE select
KMT2C	NM_170606.2	ENST00000262189.11	oncokb transcript, MANE select
KMT2D	NM_003482.3	ENST00000301067.12	oncokb transcript, MANE select
KMT5A	NM_020382.7	ENST00000402868.8	oncokb transcript, MANE select
KNSTRN	NM_033286.3	ENST00000249776.13	oncokb transcript, MANE select
KRAS	NM_004985.3	ENST00000311936.8	oncokb transcript, MANE select
LATS1	NM_004690.3	ENST00000253339.9	oncokb transcript
LATS2	NM_014572.2	ENST00000382592.5	oncokb transcript, MANE select
LMO1	NM_002315.2	ENST00000335790.8	oncokb transcript, MANE select
LYN	NM_002350.3	ENST00000519728.6	oncokb transcript, MANE select
LZTR1	NM_006767.3	ENST00000646124.2	oncokb transcript, MANE select
MAD2L2	NM_001127325.1	ENST00000235310.7	oncokb transcript
MALT1	NM_006785.3	ENST00000649217.2	oncokb transcript, MANE select
MAP2K1	NM_002755.3	ENST00000307102.10	oncokb transcript, MANE select
MAP2K2	NM_030662.3	ENST00000262948.10	oncokb transcript, MANE select
MAP2K4	NM_003010.3	ENST00000353533.10	oncokb transcript, MANE select
MAP3K1	NM_005921.1	ENST00000399503.4	oncokb transcript, MANE select
MAP3K13	NM_004721.4	ENST00000265026.8	oncokb transcript, MANE select
MAP3K14	NM_003954.3	ENST00000344686.8	oncokb transcript, MANE select
MAPK1	NM_002745.4	ENST00000215832.11	oncokb transcript, MANE select
MAPK3	NM_002746.2	ENST00000263025.9	oncokb transcript, MANE select
MAPKAP1	NM_001006617.1	ENST00000265960.8	oncokb transcript, MANE select
MAX	NM_002382.4	ENST00000358664.9	oncokb transcript, MANE select
MCL1	NM_021960.4	ENST00000369026.3	oncokb transcript, MANE select
MDC1	NM_014641.2	ENST00000376406.8	oncokb transcript, MANE select
MDM2	NM_002392.5	ENST00000258149.11	oncokb transcript, MANE select
MDM4	NM_002393.4	ENST00000367182.8	oncokb transcript, MANE select
MED12	NM_005120.2	ENST00000374080.8	oncokb transcript, MANE select
MEF2B	NM_001145785.1	ENST00000424583.7	oncokb transcript, MANE select
MEN1	NM_130799.2	ENST00000312049.11	oncokb transcript
MET	NM_000245.2	ENST00000397752.8	oncokb transcript, MANE select
MGA	NM_001164273.1	ENST00000219905.13	oncokb transcript
MITF	NM_000248.4	ENST00000394351.9	oncokb transcript, MANE select
MLH1	NM_000249.3	ENST00000231790.8	oncokb transcript, MANE select
MLLT1	NM_005934.3	ENST00000252674.9	oncokb transcript, MANE select
MPL	NM_005373.2	ENST00000372470.9	oncokb transcript, MANE select
MRE11	NM_005591.3	ENST00000323929.8	oncokb transcript, MANE select
MSH2	NM_000251.2	ENST00000233146.7	oncokb transcript, MANE select
MSH3	NM_002439.4	ENST00000265081.7	oncokb transcript, MANE select
MSH6	NM_000179.2	ENST00000234420.11	oncokb transcript, MANE select
MSI1	NM_002442.3	ENST00000257552.7	oncokb transcript, MANE select
MSI2	NM_138962.2	ENST00000284073.7	oncokb transcript, MANE select
MST1	NM_020998.3	ENST00000449682.3	oncokb transcript, MANE select
MST1R	NM_002447.2	ENST00000296474.8	oncokb transcript, MANE select
MTAP	NM_002451.3	ENST00000644715.2	oncokb transcript, MANE select
MTOR	NM_004958.3	ENST00000361445.9	oncokb transcript, MANE select
MUTYH	NM_001128425.2	ENST00000710952.2	oncokb transcript, MANE select
MYC	NM_002467.4	ENST00000621592.8	oncokb transcript, MANE select
MYCL	NM_001033082.2	ENST00000397332.3	oncokb transcript
MYCN	NM_005378.4	ENST00000281043.4	oncokb transcript, MANE select
MYD88	NP_002459.3	ENST00000650905.2	oncokb transcript, MANE select
MYOD1	NM_002478.4	ENST00000250003.4	oncokb transcript, MANE select
NADK	NM_001198994.2	ENST00000378625.5	oncokb transcript, matching with GRCh37 mskcc isoform
NBN	NM_002485.4	ENST00000265433.8	oncokb transcript, MANE select
NCOA3	NM_181659.2	ENST00000371998.8	oncokb transcript, MANE select
NCOR1	NM_006311.3	ENST00000268712.8	oncokb transcript, MANE select
NEGR1	NM_173808.2	ENST00000357731.10	oncokb transcript, MANE select
NF1	NM_000267.3	ENST00000356175.7	oncokb transcript
NF2	NM_000268.3	ENST00000338641.10	oncokb transcript, MANE select
NFE2L2	NM_006164.4	ENST00000397062.8	oncokb transcript, MANE select
NFKBIA	NM_020529.2	ENST00000216797.10	oncokb transcript, MANE select
NKX2-1	NM_001079668.2	ENST00000354822.7	oncokb transcript, MANE select
NKX3-1	NM_006167.3	ENST00000380871.5	oncokb transcript, MANE select
NOTCH1	NM_017617.5	ENST00000651671.1	oncokb transcript, MANE select
NOTCH2	NM_024408.3	ENST00000256646.7	oncokb transcript, MANE select
NOTCH3	NM_000435.2	ENST00000263388.7	oncokb transcript, MANE select
NOTCH4	NM_004557.3	ENST00000375023.3	oncokb transcript, MANE select
NPM1	NM_002520.6	ENST00000296930.10	oncokb transcript, MANE select
NRAS	NM_002524.4	ENST00000369535.5	oncokb transcript, MANE select
NSD1	NM_022455.4	ENST00000439151.7	oncokb transcript, MANE select
NSD2	NM_001042424.2	ENST00000382891.9	oncokb transcript
NSD3	NM_023034.1	ENST00000317025.13	oncokb transcript, MANE select
NTHL1	NM_002528.5	ENST00000219066.5	oncokb transcript
NTRK1	NM_002529.3	ENST00000524377.7	oncokb transcript, MANE select
NTRK2	NM_006180.3	ENST00000277120.8	oncokb transcript, MANE select
NTRK3	NM_001012338.3	ENST00000629765.3	oncokb transcript, MANE select
NUF2	NM_031423.3	ENST00000271452.8	oncokb transcript, MANE select
NUP93	NM_014669.4	ENST00000308159.10	oncokb transcript, MANE select
PAK1	NM_002576.4	ENST00000356341.8	oncokb transcript, MANE select
PAK5	NM_177990.2	ENST00000353224.10	oncokb transcript, MANE select
PALB2	NM_024675.3	ENST00000261584.9	oncokb transcript, MANE select
PARP1	NM_001618.3	ENST00000366794.10	oncokb transcript, MANE select
PAX5	NM_016734.2	ENST00000358127.9	oncokb transcript, MANE select
PBRM1	NM_018313.4	ENST00000394830.7	oncokb transcript
PDCD1	NM_005018.2	ENST00000334409.10	oncokb transcript, MANE select
PDCD1LG2	NM_025239.3	ENST00000397747.5	oncokb transcript, MANE select
PDGFRA	NM_006206.4	ENST00000257290.10	oncokb transcript, MANE select
PDGFRB	NM_002609.3	ENST00000261799.9	oncokb transcript, MANE select
PDPK1	NM_002613.4	ENST00000342085.9	oncokb transcript, MANE select
PGR	NM_000926.4	ENST00000325455.10	oncokb transcript, MANE select
PHF6	NM_001015877.1	ENST00000332070.7	oncokb transcript
PHOX2B	NM_003924.3	ENST00000226382.4	oncokb transcript, MANE select
PIK3C2G	NM_004570.4	ENST00000433979.6	oncokb transcript
PIK3C3	NM_002647.2	ENST00000262039.9	oncokb transcript, MANE select
PIK3CA	NM_006218.2	ENST00000263967.4	oncokb transcript, MANE select
PIK3CB	NM_006219.2	ENST00000289153.6	oncokb transcript
PIK3CD	NM_005026.3	ENST00000377346.9	oncokb transcript, MANE select
PIK3CG	NM_002649.2	ENST00000359195.3	oncokb transcript
PIK3R1	NM_181523.2	ENST00000521381.6	oncokb transcript, MANE select
PIK3R2	NM_005027.3	ENST00000222254.13	oncokb transcript, MANE select
PIK3R3	NM_003629.3	ENST00000262741.10	oncokb transcript, MANE select
PIM1	NM_002648.3	ENST00000373509.6	oncokb transcript, MANE select
PLCG2	NM_002661.3	ENST00000564138.6	oncokb transcript, MANE select
PLK2	NM_006622.3	ENST00000274289.8	oncokb transcript, MANE select
PMAIP1	NM_021127.2	ENST00000316660.7	oncokb transcript, MANE select
PMS1	NM_000534.4	ENST00000441310.7	oncokb transcript, MANE select
PMS2	NM_000535.5	ENST00000265849.12	oncokb transcript, MANE select
PNRC1	NM_006813.2	ENST00000336032.4	oncokb transcript, MANE select
POLD1	NM_002691.3	ENST00000440232.7	oncokb transcript, MANE select
POLE	NM_006231.2	ENST00000320574.10	oncokb transcript, MANE select
POT1	NM_015450.2	ENST00000357628.8	oncokb transcript, MANE select
PPARG	NM_015869.4	ENST00000287820.10	oncokb transcript
PPM1D	NM_003620.3	ENST00000305921.8	oncokb transcript, MANE select
PPP2R1A	NM_014225.5	ENST00000322088.11	oncokb transcript, MANE select
PPP4R2	NM_174907.2	ENST00000356692.10	oncokb transcript, MANE select
PPP6C	NM_002721.4	ENST00000373547.9	oncokb transcript, MANE select
PRDM1	NM_001198.3	ENST00000369096.9	oncokb transcript, MANE select
PRDM14	NM_024504.3	ENST00000276594.3	oncokb transcript, MANE select
PREX2	NM_024870.2	ENST00000288368.5	oncokb transcript, MANE select
PRKAR1A	NM_212471.2	ENST00000358598.6	oncokb transcript
PRKCI	NM_002740.5	ENST00000295797.5	oncokb transcript, MANE select
PRKD1	NM_002742.2	ENST00000331968.11	oncokb transcript, MANE select
PRKN	NM_004562.2	ENST00000366898.6	oncokb transcript, MANE select
PTCH1	NM_000264.3	ENST00000331920.11	oncokb transcript, MANE select
PTDSS1	NP_055569.1	ENST00000517309.6	MANE transcript, MANE select
PTEN	NM_000314.4	ENST00000371953.8	oncokb transcript, MANE select
PTP4A1	NM_003463.4	ENST00000626021.3	oncokb transcript, MANE select
PTPN11	NM_002834.3	ENST00000351677.7	oncokb transcript, MANE select
PTPRD	NM_002839.3	ENST00000356435.9	oncokb transcript
PTPRS	NM_002850.3	ENST00000587303.5	oncokb transcript
PTPRT	NM_133170.3	ENST00000373198.8	oncokb transcript
RAB35	NM_006861.6	ENST00000229340.10	oncokb transcript, MANE select
RAC1	NM_018890.3	ENST00000356142.4	oncokb transcript
RAC2	NM_002872.4	ENST00000249071.11	oncokb transcript, MANE select
RAD21	NM_006265.2	ENST00000297338.7	oncokb transcript, MANE select
RAD50	NM_005732.3	ENST00000378823.8	oncokb transcript, MANE select
RAD51	NM_002875.4	ENST00000267868.8	oncokb transcript, MANE select
RAD51B	NM_133509.3	ENST00000487270.5	oncokb transcript
RAD51C	NM_058216.2	ENST00000337432.9	oncokb transcript, MANE select
RAD51D	NM_002878.3	ENST00000345365.11	oncokb transcript, MANE select
RAD52	NM_134424.2	ENST00000358495.8	oncokb transcript, MANE select
RAD54L	NM_001142548.1	ENST00000371975.9	oncokb transcript, MANE select
