Transcript stable ID	CCDS ID
ENSMUST00000238269	
ENSMUST00000185598	
ENSMUST00000075648	CCDS27039
ENSMUST00000238246	
ENSMUST00000222199	
ENSMUST00000192751	
ENSMUST00000186072	
ENSMUST00000186102	
ENSMUST00000194043	
ENSMUST00000186209	
ENSMUST00000041459	CCDS23491
ENSMUST00000234884	
ENSMUST00000179560	
ENSMUST00000222326	
ENSMUST00000174652	
ENSMUST00000005490	CCDS23970
ENSMUST00000186286	
ENSMUST00000234747	
ENSMUST00000208451	
ENSMUST00000222070	
ENSMUST00000062181	CCDS21079
ENSMUST00000195046	
ENSMUST00000182700	
ENSMUST00000198031	
ENSMUST00000036938	CCDS25801
ENSMUST00000192579	
ENSMUST00000117862	
ENSMUST00000031314	CCDS19412
ENSMUST00000174106	
ENSMUST00000102945	CCDS15729
ENSMUST00000178572	
ENSMUST00000136508	
ENSMUST00000208610	
ENSMUST00000217717	
ENSMUST00000216879	CCDS24347
ENSMUST00000177403	CCDS56958
ENSMUST00000222189	
ENSMUST00000228894	
ENSMUST00000195235	CCDS23491
ENSMUST00000208923	
ENSMUST00000221064	
ENSMUST00000189146	
ENSMUST00000080460	CCDS24347
ENSMUST00000201737	
ENSMUST00000220435	
ENSMUST00000118940	
ENSMUST00000095664	CCDS39575
ENSMUST00000194344	
ENSMUST00000179067	
ENSMUST00000194094	
ENSMUST00000173862	
ENSMUST00000217308	CCDS40539
ENSMUST00000103266	
ENSMUST00000095863	CCDS25800
ENSMUST00000204973	
ENSMUST00000201356	
ENSMUST00000189021	
ENSMUST00000189258	
ENSMUST00000168622	CCDS56958
ENSMUST00000238299	
ENSMUST00000120795	
ENSMUST00000069443	CCDS27316
ENSMUST00000219871	CCDS16337
ENSMUST00000194906	
ENSMUST00000200150	
ENSMUST00000238663	
ENSMUST00000124173	
ENSMUST00000129465	
ENSMUST00000213115	
ENSMUST00000181168	
ENSMUST00000188769	
ENSMUST00000117825	
ENSMUST00000221302	
ENSMUST00000194967	
ENSMUST00000055698	CCDS27153
ENSMUST00000215388	
ENSMUST00000165657	CCDS25801
ENSMUST00000102618	CCDS16337
ENSMUST00000103265	
ENSMUST00000209028	
ENSMUST00000192063	
ENSMUST00000213517	
ENSMUST00000204190	
ENSMUST00000160805	
ENSMUST00000238596	
ENSMUST00000025929	CCDS29530
ENSMUST00000188694	
ENSMUST00000178902	
ENSMUST00000082170	CCDS40539
ENSMUST00000117060	
ENSMUST00000191177	
ENSMUST00000159456	
ENSMUST00000204175	
ENSMUST00000216115	
ENSMUST00000002292	CCDS20231
ENSMUST00000178390	
ENSMUST00000192089	
ENSMUST00000188526	
ENSMUST00000215220	
ENSMUST00000148558	
ENSMUST00000159090	
ENSMUST00000114159	CCDS15796
ENSMUST00000162818	
ENSMUST00000193357	
ENSMUST00000188014	
ENSMUST00000049022	CCDS26497
ENSMUST00000022245	CCDS26794
ENSMUST00000053559	
ENSMUST00000214867	
ENSMUST00000187419	
ENSMUST00000054096	CCDS18776
ENSMUST00000178365	
ENSMUST00000204822	
ENSMUST00000192753	
ENSMUST00000119590	CCDS53025
ENSMUST00000217850	
ENSMUST00000149415	
ENSMUST00000225170	
ENSMUST00000189888	CCDS30539
ENSMUST00000124458	
ENSMUST00000160117	
ENSMUST00000191181	
ENSMUST00000040536	CCDS26061
ENSMUST00000187260	
ENSMUST00000120733	
ENSMUST00000238044	
ENSMUST00000028300	CCDS15796
ENSMUST00000187657	
ENSMUST00000238302	
ENSMUST00000238594	
ENSMUST00000235789	
ENSMUST00000191725	
ENSMUST00000033498	CCDS29978
ENSMUST00000144081	
ENSMUST00000194717	
ENSMUST00000131099	
ENSMUST00000222781	
ENSMUST00000189827	
ENSMUST00000176792	
ENSMUST00000176606	
ENSMUST00000131280	
ENSMUST00000217210	
ENSMUST00000193217	
ENSMUST00000162708	CCDS29404
ENSMUST00000140696	
ENSMUST00000126921	
ENSMUST00000177724	
ENSMUST00000065545	CCDS30539
ENSMUST00000187954	
ENSMUST00000146406	
ENSMUST00000186981	
ENSMUST00000179356	
ENSMUST00000038628	CCDS18776
ENSMUST00000236811	
ENSMUST00000118372	
ENSMUST00000123947	
ENSMUST00000118984	
ENSMUST00000152133	
ENSMUST00000198386	
ENSMUST00000150555	
ENSMUST00000150541	
ENSMUST00000220921	
ENSMUST00000025669	
ENSMUST00000153819	
ENSMUST00000205157	
ENSMUST00000185941	
ENSMUST00000189084	
ENSMUST00000181703	
ENSMUST00000204231	
ENSMUST00000013787	CCDS36163
ENSMUST00000236436	
ENSMUST00000128674	
ENSMUST00000181707	
ENSMUST00000162193	
ENSMUST00000198514	
ENSMUST00000104927	
ENSMUST00000186631	
ENSMUST00000222639	
ENSMUST00000189422	
ENSMUST00000191389	
ENSMUST00000133212	
ENSMUST00000238604	
ENSMUST00000032376	CCDS20403
ENSMUST00000191573	
ENSMUST00000177792	CCDS78893
ENSMUST00000178144	
ENSMUST00000190539	
ENSMUST00000180329	
ENSMUST00000222186	
ENSMUST00000221366	
ENSMUST00000108826	CCDS36163
ENSMUST00000140993	
ENSMUST00000236920	
ENSMUST00000189196	
ENSMUST00000226274	
ENSMUST00000185485	
ENSMUST00000189521	
ENSMUST00000149408	
ENSMUST00000237112	
ENSMUST00000187795	
ENSMUST00000180629	
ENSMUST00000122204	
ENSMUST00000123136	
ENSMUST00000141875	
ENSMUST00000114212	
ENSMUST00000059482	CCDS28472
ENSMUST00000191581	
ENSMUST00000187727	
ENSMUST00000221716	
ENSMUST00000237030	
ENSMUST00000235311	
ENSMUST00000216371	
ENSMUST00000162135	
ENSMUST00000200968	CCDS19948
ENSMUST00000161415	
ENSMUST00000021692	CCDS26163
ENSMUST00000200338	
ENSMUST00000196313	
ENSMUST00000220554	
ENSMUST00000190752	
ENSMUST00000198311	CCDS17789
ENSMUST00000201585	
ENSMUST00000222225	
ENSMUST00000215676	
ENSMUST00000111335	
ENSMUST00000126912	
ENSMUST00000165711	CCDS50346
ENSMUST00000031689	CCDS19948
ENSMUST00000216433	CCDS23230
ENSMUST00000103339	
ENSMUST00000197335	CCDS80008
ENSMUST00000186034	
ENSMUST00000181615	
ENSMUST00000153182	
ENSMUST00000221075	
ENSMUST00000203014	
ENSMUST00000223155	
ENSMUST00000117340	
ENSMUST00000055636	CCDS38439
ENSMUST00000181036	
ENSMUST00000222016	
ENSMUST00000108055	CCDS18060
ENSMUST00000127247	CCDS51729
ENSMUST00000121928	
ENSMUST00000200422	
ENSMUST00000163113	
ENSMUST00000034865	CCDS23230
ENSMUST00000187438	
ENSMUST00000019109	CCDS19198
ENSMUST00000028681	CCDS16434
ENSMUST00000218005	
ENSMUST00000186653	
ENSMUST00000187965	
ENSMUST00000199651	
ENSMUST00000072551	CCDS17369
ENSMUST00000030148	
ENSMUST00000159690	
ENSMUST00000040461	CCDS26062
ENSMUST00000218957	
ENSMUST00000138261	
ENSMUST00000193764	
ENSMUST00000018993	CCDS24545
ENSMUST00000222858	
ENSMUST00000142047	
ENSMUST00000188867	
ENSMUST00000020298	CCDS35913
ENSMUST00000176819	CCDS37346
ENSMUST00000029571	
ENSMUST00000136667	
ENSMUST00000221123	
ENSMUST00000131001	
ENSMUST00000222044	
ENSMUST00000117988	
ENSMUST00000154175	
ENSMUST00000199072	
ENSMUST00000196619	
ENSMUST00000221585	
ENSMUST00000127086	
ENSMUST00000131532	
ENSMUST00000051408	CCDS38438
ENSMUST00000220610	
ENSMUST00000125058	
ENSMUST00000196933	
ENSMUST00000197063	
ENSMUST00000176321	
ENSMUST00000211010	
ENSMUST00000133497	
ENSMUST00000101367	CCDS57424
ENSMUST00000237664	
ENSMUST00000209933	
ENSMUST00000161419	
ENSMUST00000198747	
ENSMUST00000154535	
ENSMUST00000099356	CCDS36736
ENSMUST00000201722	
ENSMUST00000220911	
ENSMUST00000146416	
ENSMUST00000114626	CCDS37346
ENSMUST00000120844	
ENSMUST00000210236	
ENSMUST00000198035	
ENSMUST00000202157	
ENSMUST00000120235	
ENSMUST00000031793	CCDS20171
ENSMUST00000193743	
ENSMUST00000220799	
ENSMUST00000177915	
ENSMUST00000161441	
ENSMUST00000005064	CCDS35992
ENSMUST00000098799	CCDS20842
ENSMUST00000141951	
ENSMUST00000118529	
ENSMUST00000221295	
ENSMUST00000050069	CCDS17976
ENSMUST00000135792	
ENSMUST00000127376	
ENSMUST00000214635	
ENSMUST00000203903	
ENSMUST00000169209	
ENSMUST00000159856	
ENSMUST00000130722	
ENSMUST00000236263	
ENSMUST00000185442	
ENSMUST00000236054	
ENSMUST00000047037	CCDS40951
ENSMUST00000214556	
ENSMUST00000200308	
ENSMUST00000138008	
ENSMUST00000162904	
ENSMUST00000144956	
ENSMUST00000238549	
ENSMUST00000222569	
ENSMUST00000193339	
ENSMUST00000236915	
ENSMUST00000091762	
ENSMUST00000075774	CCDS26445
ENSMUST00000186092	
ENSMUST00000210921	
ENSMUST00000161006	
ENSMUST00000069128	CCDS17976
ENSMUST00000121678	
ENSMUST00000051259	CCDS22554
ENSMUST00000190013	CCDS30540
ENSMUST00000062060	CCDS15716
ENSMUST00000222891	
ENSMUST00000152447	
ENSMUST00000147879	
ENSMUST00000139560	CCDS18438
ENSMUST00000185862	
ENSMUST00000022855	CCDS37042
ENSMUST00000134017	
ENSMUST00000220744	
ENSMUST00000186204	
ENSMUST00000212558	
ENSMUST00000147436	
ENSMUST00000131199	
ENSMUST00000135558	
ENSMUST00000197966	
ENSMUST00000194020	
ENSMUST00000115894	CCDS30540
ENSMUST00000103340	
ENSMUST00000135765	
ENSMUST00000194494	
ENSMUST00000220777	
ENSMUST00000058154	CCDS48684
ENSMUST00000211994	
ENSMUST00000205087	
ENSMUST00000056401	
ENSMUST00000212951	
ENSMUST00000129549	
ENSMUST00000218436	
ENSMUST00000171020	
ENSMUST00000187181	
ENSMUST00000151430	
ENSMUST00000126137	
ENSMUST00000124182	
ENSMUST00000168322	
ENSMUST00000073317	
ENSMUST00000030357	
ENSMUST00000228644	
ENSMUST00000147324	
ENSMUST00000066742	
ENSMUST00000195357	
ENSMUST00000138647	
ENSMUST00000191867	
ENSMUST00000145586	
ENSMUST00000187648	
ENSMUST00000204118	
ENSMUST00000168690	
ENSMUST00000177839	
ENSMUST00000226135	
ENSMUST00000143557	
ENSMUST00000149366	
ENSMUST00000099318	CCDS24150
ENSMUST00000222293	
ENSMUST00000190743	
ENSMUST00000125342	
ENSMUST00000211974	
ENSMUST00000169050	
ENSMUST00000221184	
ENSMUST00000134577	
ENSMUST00000218141	
ENSMUST00000205821	
ENSMUST00000200632	
ENSMUST00000155369	
ENSMUST00000127725	
ENSMUST00000220980	
ENSMUST00000150800	
ENSMUST00000220217	
ENSMUST00000170385	
ENSMUST00000195090	
ENSMUST00000212570	
ENSMUST00000168761	
ENSMUST00000132950	
ENSMUST00000181184	
ENSMUST00000130883	
ENSMUST00000222879	
ENSMUST00000221403	
ENSMUST00000197247	
ENSMUST00000134084	
ENSMUST00000220451	
ENSMUST00000222007	
ENSMUST00000128009	
ENSMUST00000169144	
ENSMUST00000185629	
ENSMUST00000130993	
ENSMUST00000035323	CCDS21209
ENSMUST00000038835	CCDS21128
ENSMUST00000223003	
ENSMUST00000123512	
ENSMUST00000112934	CCDS71046
ENSMUST00000175904	
ENSMUST00000134477	
ENSMUST00000222294	
ENSMUST00000205229	
ENSMUST00000178213	
ENSMUST00000117893	
ENSMUST00000223224	
ENSMUST00000236363	
ENSMUST00000205506	
ENSMUST00000207433	
ENSMUST00000194081	
ENSMUST00000181874	
ENSMUST00000191468	
ENSMUST00000190628	
ENSMUST00000220465	
ENSMUST00000119517	
ENSMUST00000237028	
ENSMUST00000080635	CCDS39896
ENSMUST00000221942	
ENSMUST00000098483	
ENSMUST00000009699	CCDS15927
ENSMUST00000220857	
ENSMUST00000185509	
ENSMUST00000182568	
ENSMUST00000187204	
ENSMUST00000221160	
ENSMUST00000221621	
ENSMUST00000220639	
ENSMUST00000190491	
ENSMUST00000150443	
ENSMUST00000112936	CCDS38116
ENSMUST00000122015	
ENSMUST00000222046	
ENSMUST00000030665	CCDS18750
ENSMUST00000186400	
ENSMUST00000187079	
ENSMUST00000151802	
ENSMUST00000120105	
ENSMUST00000183264	
ENSMUST00000223427	
ENSMUST00000201992	
ENSMUST00000141860	
ENSMUST00000082432	CCDS36514
ENSMUST00000116474	
ENSMUST00000123170	
ENSMUST00000189188	
ENSMUST00000144161	
ENSMUST00000182465	
ENSMUST00000148612	
ENSMUST00000201650	
ENSMUST00000130399	
ENSMUST00000076670	CCDS18170
ENSMUST00000125619	
ENSMUST00000125451	
ENSMUST00000234736	CCDS29092
ENSMUST00000202860	
ENSMUST00000187914	
ENSMUST00000144210	
ENSMUST00000173985	CCDS29310
ENSMUST00000033549	CCDS30283
ENSMUST00000127338	
ENSMUST00000129915	
ENSMUST00000204959	
ENSMUST00000128265	
ENSMUST00000133495	
ENSMUST00000052168	CCDS50508
ENSMUST00000137884	
ENSMUST00000102746	CCDS21136
ENSMUST00000143826	
ENSMUST00000134899	
ENSMUST00000205124	
ENSMUST00000152921	
ENSMUST00000151692	
ENSMUST00000185491	
ENSMUST00000025395	CCDS29310
ENSMUST00000154131	
ENSMUST00000204962	
ENSMUST00000131259	
ENSMUST00000205711	
ENSMUST00000025160	CCDS29092
ENSMUST00000015712	CCDS40357
ENSMUST00000148374	
ENSMUST00000173530	
ENSMUST00000155205	
ENSMUST00000201086	
ENSMUST00000124218	
ENSMUST00000217403	CCDS16271
ENSMUST00000204690	
ENSMUST00000025666	CCDS29532
ENSMUST00000152037	
ENSMUST00000111576	CCDS16271
ENSMUST00000234661	
ENSMUST00000225301	
ENSMUST00000213071	
ENSMUST00000124824	
ENSMUST00000151454	
ENSMUST00000220395	
ENSMUST00000185649	
ENSMUST00000068755	CCDS30410
ENSMUST00000041524	CCDS38612
ENSMUST00000199894	CCDS19268
ENSMUST00000115837	CCDS29092
ENSMUST00000100143	CCDS38116
ENSMUST00000142763	
ENSMUST00000168401	CCDS40357
ENSMUST00000138317	
ENSMUST00000193692	
ENSMUST00000071842	
ENSMUST00000101463	
ENSMUST00000175991	
ENSMUST00000141771	
ENSMUST00000117261	
ENSMUST00000151989	
ENSMUST00000184963	
ENSMUST00000118696	
ENSMUST00000137448	
ENSMUST00000027988	CCDS15664
ENSMUST00000169749	
ENSMUST00000188591	
ENSMUST00000180025	CCDS30410
ENSMUST00000221365	
ENSMUST00000061299	CCDS19268
ENSMUST00000119322	
ENSMUST00000148152	
ENSMUST00000185938	
ENSMUST00000120027	
ENSMUST00000139916	
ENSMUST00000227656	
ENSMUST00000123566	
ENSMUST00000230534	
ENSMUST00000183638	
ENSMUST00000134856	
ENSMUST00000194739	
ENSMUST00000199481	CCDS19268
ENSMUST00000022497	CCDS27185
ENSMUST00000111574	CCDS38174
ENSMUST00000199439	
ENSMUST00000086338	CCDS20767
ENSMUST00000119342	
ENSMUST00000187508	
ENSMUST00000100496	CCDS79330
ENSMUST00000156253	
ENSMUST00000099872	CCDS38174
ENSMUST00000111569	CCDS39720
ENSMUST00000206651	
ENSMUST00000096321	CCDS30408
ENSMUST00000226286	
ENSMUST00000186604	
ENSMUST00000113498	CCDS39567
ENSMUST00000127941	
ENSMUST00000194790	
ENSMUST00000108090	CCDS57534
ENSMUST00000128847	
ENSMUST00000072050	
ENSMUST00000102769	CCDS16027
ENSMUST00000216675	CCDS16338
ENSMUST00000072324	
ENSMUST00000191471	CCDS35528
ENSMUST00000233974	CCDS28832
ENSMUST00000156161	
ENSMUST00000066387	CCDS22884
ENSMUST00000050038	CCDS16338
ENSMUST00000186024	
ENSMUST00000041544	CCDS39566
ENSMUST00000197190	
ENSMUST00000133768	
ENSMUST00000115443	CCDS19925
ENSMUST00000132535	
ENSMUST00000209063	
ENSMUST00000214901	
ENSMUST00000208067	
ENSMUST00000186096	
ENSMUST00000003642	CCDS28832
ENSMUST00000151640	
ENSMUST00000224644	
ENSMUST00000126879	CCDS26605
ENSMUST00000134761	
ENSMUST00000213145	CCDS24348
ENSMUST00000140070	
ENSMUST00000186190	
ENSMUST00000170517	CCDS40668
ENSMUST00000153364	
ENSMUST00000064637	CCDS39508
ENSMUST00000208189	
ENSMUST00000115442	CCDS19925
ENSMUST00000164273	CCDS22832
ENSMUST00000081469	CCDS24348
ENSMUST00000154971	
ENSMUST00000130799	
ENSMUST00000179481	CCDS57535
ENSMUST00000132021	
ENSMUST00000124807	
ENSMUST00000139914	
ENSMUST00000114178	
ENSMUST00000095062	CCDS78556
ENSMUST00000198454	
ENSMUST00000202348	
ENSMUST00000203406	
ENSMUST00000056755	
ENSMUST00000037504	CCDS40668
ENSMUST00000126546	
ENSMUST00000075025	
ENSMUST00000204564	
ENSMUST00000125510	
ENSMUST00000210322	
ENSMUST00000198103	
ENSMUST00000006704	CCDS79287
ENSMUST00000145473	
ENSMUST00000134974	
ENSMUST00000163590	CCDS37815
ENSMUST00000204942	
ENSMUST00000187468	
ENSMUST00000166933	
ENSMUST00000155732	
ENSMUST00000200361	
ENSMUST00000172930	
ENSMUST00000150069	
ENSMUST00000152802	
ENSMUST00000038382	CCDS14833
ENSMUST00000149595	
ENSMUST00000200582	
ENSMUST00000122909	
ENSMUST00000213456	CCDS16272
ENSMUST00000169288	
ENSMUST00000222364	
ENSMUST00000147371	
ENSMUST00000190195	
ENSMUST00000215789	
ENSMUST00000114179	CCDS39508
ENSMUST00000148903	
ENSMUST00000134286	
ENSMUST00000183140	
ENSMUST00000099871	CCDS16272
ENSMUST00000163118	CCDS49435
ENSMUST00000204222	
ENSMUST00000189453	
ENSMUST00000139852	
ENSMUST00000203327	
ENSMUST00000137029	
ENSMUST00000080469	CCDS19925
ENSMUST00000221840	
ENSMUST00000147345	
ENSMUST00000227938	
ENSMUST00000170074	
ENSMUST00000113144	CCDS30409
ENSMUST00000221002	
ENSMUST00000186705	
ENSMUST00000218493	
ENSMUST00000134480	
ENSMUST00000113147	CCDS30409
ENSMUST00000208715	
ENSMUST00000223448	
ENSMUST00000069399	CCDS52493
ENSMUST00000025383	CCDS50286
ENSMUST00000021784	CCDS26419
ENSMUST00000140563	
ENSMUST00000185243	
ENSMUST00000185463	
ENSMUST00000186920	
ENSMUST00000184598	
ENSMUST00000154254	
ENSMUST00000113145	CCDS30409
ENSMUST00000032371	CCDS20683
ENSMUST00000192596	
ENSMUST00000237137	
ENSMUST00000190425	
ENSMUST00000224115	
ENSMUST00000110307	CCDS84017
ENSMUST00000135767	
ENSMUST00000144143	
ENSMUST00000163647	
ENSMUST00000143034	
ENSMUST00000183471	CCDS52493
ENSMUST00000029815	CCDS17856
ENSMUST00000218541	
ENSMUST00000126939	
ENSMUST00000120298	
ENSMUST00000222125	
ENSMUST00000152948	
ENSMUST00000184243	
ENSMUST00000221821	
ENSMUST00000166554	CCDS30409
ENSMUST00000122340	
ENSMUST00000217963	
ENSMUST00000017090	CCDS28473
ENSMUST00000221086	
ENSMUST00000225750	
ENSMUST00000035899	CCDS26464
ENSMUST00000120988	
ENSMUST00000192473	
ENSMUST00000079761	
ENSMUST00000117211	CCDS16273
ENSMUST00000029573	CCDS17788
ENSMUST00000196942	
ENSMUST00000033820	CCDS22104
ENSMUST00000184288	
ENSMUST00000186269	
ENSMUST00000224902	
ENSMUST00000094913	CCDS16273
ENSMUST00000198784	
ENSMUST00000127755	
ENSMUST00000097644	CCDS48324
ENSMUST00000137170	CCDS49110
ENSMUST00000234555	
ENSMUST00000188790	
ENSMUST00000235986	
ENSMUST00000213849	
ENSMUST00000235814	
ENSMUST00000220934	
ENSMUST00000186161	
ENSMUST00000235252	
ENSMUST00000221033	
ENSMUST00000212186	
ENSMUST00000114725	CCDS53076
ENSMUST00000236750	
ENSMUST00000185963	
ENSMUST00000198336	
ENSMUST00000221172	
ENSMUST00000223971	
ENSMUST00000214319	
ENSMUST00000189303	
ENSMUST00000222741	
ENSMUST00000190650	
ENSMUST00000197926	
ENSMUST00000191327	
ENSMUST00000187308	
ENSMUST00000185602	
ENSMUST00000179433	CCDS57128
ENSMUST00000183636	
ENSMUST00000077290	CCDS20097
ENSMUST00000218636	
ENSMUST00000189730	
ENSMUST00000185267	
ENSMUST00000030412	CCDS38870
ENSMUST00000189545	
ENSMUST00000204029	
ENSMUST00000191022	
ENSMUST00000186002	
ENSMUST00000189124	
ENSMUST00000185959	
ENSMUST00000100070	CCDS35836
ENSMUST00000121870	
ENSMUST00000185341	
ENSMUST00000036615	CCDS23284
ENSMUST00000221079	
ENSMUST00000117845	
ENSMUST00000107327	CCDS51207
ENSMUST00000025794	
ENSMUST00000148562	
ENSMUST00000187622	
ENSMUST00000107444	CCDS18243
ENSMUST00000137013	
ENSMUST00000212867	
ENSMUST00000107326	
ENSMUST00000192731	
ENSMUST00000188173	
ENSMUST00000212408	
ENSMUST00000119037	
ENSMUST00000126172	
ENSMUST00000030090	CCDS18243
ENSMUST00000196253	
ENSMUST00000023530	CCDS28137
ENSMUST00000188872	
ENSMUST00000034909	CCDS40723
ENSMUST00000193314	
ENSMUST00000222060	
ENSMUST00000008995	CCDS48324
ENSMUST00000225198	
ENSMUST00000120157	
ENSMUST00000137424	
ENSMUST00000222445	
ENSMUST00000231612	
ENSMUST00000194827	
ENSMUST00000097902	
ENSMUST00000220843	
ENSMUST00000192836	
ENSMUST00000185565	
ENSMUST00000204905	
ENSMUST00000189069	
ENSMUST00000060847	CCDS20405
ENSMUST00000204739	
ENSMUST00000184147	
ENSMUST00000019997	CCDS23715
ENSMUST00000046647	CCDS18808
ENSMUST00000176838	CCDS20172
ENSMUST00000217775	
ENSMUST00000049395	CCDS22428
ENSMUST00000120759	
ENSMUST00000223374	
ENSMUST00000143134	
ENSMUST00000227073	CCDS20172
ENSMUST00000166376	CCDS18860
ENSMUST00000105527	CCDS23715
ENSMUST00000219888	
ENSMUST00000156432	
ENSMUST00000103341	
ENSMUST00000123254	
ENSMUST00000121981	
ENSMUST00000224199	
ENSMUST00000143157	
ENSMUST00000217397	CCDS28735
ENSMUST00000096612	CCDS20172
ENSMUST00000238755	
ENSMUST00000151232	
ENSMUST00000124506	
ENSMUST00000194681	
ENSMUST00000237873	
ENSMUST00000124713	
ENSMUST00000187571	
ENSMUST00000224103	
ENSMUST00000154590	
ENSMUST00000222236	
ENSMUST00000222352	
ENSMUST00000215195	CCDS28735
ENSMUST00000109902	CCDS22428
ENSMUST00000154749	
ENSMUST00000190559	
ENSMUST00000119456	
ENSMUST00000039113	CCDS37510
ENSMUST00000185319	
ENSMUST00000037853	CCDS23182
ENSMUST00000122863	
ENSMUST00000037127	CCDS18535
ENSMUST00000222493	
ENSMUST00000071977	CCDS18860
ENSMUST00000215502	
ENSMUST00000058644	CCDS49200
ENSMUST00000187124	
ENSMUST00000216488	CCDS28735
ENSMUST00000148134	
ENSMUST00000144373	
ENSMUST00000214164	
ENSMUST00000080603	
ENSMUST00000146388	
ENSMUST00000217958	
ENSMUST00000183694	CCDS79159
ENSMUST00000144294	
ENSMUST00000133454	
ENSMUST00000236015	
ENSMUST00000120333	
ENSMUST00000207101	
ENSMUST00000049149	CCDS24245
ENSMUST00000192096	
ENSMUST00000186297	
ENSMUST00000146384	
ENSMUST00000147759	
ENSMUST00000190227	
ENSMUST00000188424	
ENSMUST00000142410	
ENSMUST00000184209	
ENSMUST00000147144	
ENSMUST00000070808	CCDS28735
ENSMUST00000125312	
ENSMUST00000149935	
ENSMUST00000130671	
ENSMUST00000134453	
ENSMUST00000184820	
ENSMUST00000222558	
ENSMUST00000186957	
ENSMUST00000134379	
ENSMUST00000164744	CCDS51859
ENSMUST00000184069	
ENSMUST00000188540	
ENSMUST00000186872	
ENSMUST00000043754	CCDS36691
ENSMUST00000125480	
ENSMUST00000217372	CCDS50107
ENSMUST00000067043	CCDS16001
ENSMUST00000214411	CCDS16274
ENSMUST00000226130	CCDS51791
ENSMUST00000189607	
ENSMUST00000204056	
ENSMUST00000236688	
ENSMUST00000121829	
ENSMUST00000228276	CCDS51791
